Channel			  :,CH2
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=3.400V
Average			  :,V=-1.569V
Vertical pos		  :,-760.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,40.00mV
Time interval		  :,0.08uS

index,CH2_Voltage(mV)
0,120.00
1,120.00
2,120.00
3,120.00
4,120.00
5,120.00
6,120.00
7,120.00
8,120.00
9,120.00
10,120.00
11,120.00
12,120.00
13,80.00
14,120.00
15,120.00
16,120.00
17,120.00
18,40.00
19,80.00
20,120.00
21,120.00
22,80.00
23,80.00
24,80.00
25,120.00
26,120.00
27,120.00
28,120.00
29,120.00
30,120.00
31,120.00
32,120.00
33,120.00
34,120.00
35,120.00
36,120.00
37,160.00
38,120.00
39,80.00
40,120.00
41,80.00
42,120.00
43,120.00
44,120.00
45,80.00
46,120.00
47,80.00
48,120.00
49,120.00
50,120.00
51,80.00
52,80.00
53,80.00
54,120.00
55,120.00
56,120.00
57,120.00
58,120.00
59,120.00
60,120.00
61,120.00
62,120.00
63,80.00
64,120.00
65,120.00
66,120.00
67,120.00
68,120.00
69,80.00
70,120.00
71,120.00
72,80.00
73,120.00
74,120.00
75,120.00
76,120.00
77,120.00
78,120.00
79,80.00
80,120.00
81,120.00
82,120.00
83,80.00
84,120.00
85,120.00
86,200.00
87,120.00
88,120.00
89,80.00
90,80.00
91,120.00
92,120.00
93,120.00
94,120.00
95,80.00
96,80.00
97,80.00
98,120.00
99,120.00
100,120.00
101,80.00
102,80.00
103,120.00
104,120.00
105,120.00
106,120.00
107,80.00
108,120.00
109,120.00
110,120.00
111,120.00
112,80.00
113,80.00
114,120.00
115,120.00
116,120.00
117,120.00
118,120.00
119,120.00
120,120.00
121,120.00
122,120.00
123,120.00
124,80.00
125,120.00
126,120.00
127,120.00
128,120.00
129,80.00
130,120.00
131,120.00
132,120.00
133,120.00
134,80.00
135,80.00
136,120.00
137,120.00
138,80.00
139,80.00
140,80.00
141,80.00
142,120.00
143,80.00
144,120.00
145,120.00
146,80.00
147,80.00
148,120.00
149,120.00
150,120.00
151,120.00
152,80.00
153,80.00
154,120.00
155,120.00
156,120.00
157,80.00
158,80.00
159,120.00
160,120.00
161,40.00
162,80.00
163,80.00
164,120.00
165,120.00
166,80.00
167,80.00
168,80.00
169,120.00
170,120.00
171,120.00
172,120.00
173,120.00
174,120.00
175,120.00
176,120.00
177,120.00
178,120.00
179,80.00
180,120.00
181,120.00
182,120.00
183,120.00
184,80.00
185,80.00
186,120.00
187,120.00
188,120.00
189,80.00
190,80.00
191,120.00
192,120.00
193,120.00
194,80.00
195,120.00
196,120.00
197,80.00
198,120.00
199,80.00
200,80.00
