Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=3.520V
Average			  :,V=-1.828V
Vertical pos		  :,3280.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,40.00mV
Time interval		  :,0.08uS

index,CH1_Voltage(mV)
0,80.00
1,120.00
2,120.00
3,120.00
4,120.00
5,80.00
6,120.00
7,160.00
8,120.00
9,120.00
10,80.00
11,80.00
12,120.00
13,120.00
14,120.00
15,120.00
16,80.00
17,80.00
18,120.00
19,120.00
20,120.00
21,120.00
22,80.00
23,120.00
24,120.00
25,120.00
26,120.00
27,80.00
28,120.00
29,120.00
30,120.00
31,80.00
32,80.00
33,120.00
34,160.00
35,120.00
36,120.00
37,80.00
38,80.00
39,120.00
40,120.00
41,120.00
42,80.00
43,120.00
44,120.00
45,120.00
46,80.00
47,120.00
48,80.00
49,80.00
50,120.00
51,120.00
52,120.00
53,120.00
54,80.00
55,120.00
56,120.00
57,120.00
58,80.00
59,120.00
60,120.00
61,120.00
62,80.00
63,80.00
64,120.00
65,120.00
66,80.00
67,120.00
68,80.00
69,120.00
70,80.00
71,120.00
72,120.00
73,80.00
74,120.00
75,80.00
76,120.00
77,120.00
78,120.00
79,120.00
80,80.00
81,120.00
82,120.00
83,120.00
84,120.00
85,120.00
86,120.00
87,120.00
88,120.00
89,120.00
90,120.00
91,80.00
92,120.00
93,120.00
94,120.00
95,80.00
96,120.00
97,120.00
98,120.00
99,120.00
100,160.00
101,120.00
102,120.00
103,120.00
104,160.00
105,120.00
106,120.00
107,160.00
108,120.00
109,120.00
110,120.00
111,120.00
112,160.00
113,120.00
114,120.00
115,120.00
116,120.00
117,120.00
118,160.00
119,120.00
120,80.00
121,120.00
122,120.00
123,120.00
124,160.00
125,120.00
126,120.00
127,120.00
128,120.00
129,160.00
130,160.00
131,120.00
132,120.00
133,160.00
134,160.00
135,160.00
136,160.00
137,120.00
138,120.00
139,120.00
140,160.00
141,160.00
142,120.00
143,120.00
144,120.00
145,160.00
146,160.00
147,160.00
148,120.00
149,160.00
150,160.00
151,160.00
152,160.00
153,160.00
154,120.00
155,120.00
156,160.00
157,160.00
158,120.00
159,120.00
160,120.00
161,120.00
162,160.00
163,160.00
164,160.00
165,160.00
166,200.00
167,200.00
168,80.00
169,120.00
170,120.00
171,160.00
172,160.00
173,200.00
174,200.00
175,160.00
176,160.00
177,160.00
178,160.00
179,200.00
180,120.00
181,120.00
182,120.00
183,160.00
184,160.00
185,200.00
186,160.00
187,120.00
188,120.00
189,200.00
190,160.00
191,200.00
192,160.00
193,160.00
194,160.00
195,200.00
196,200.00
197,160.00
198,120.00
199,160.00
200,200.00
