Channel			  :,CH1
Frequency			  :,F=1.498kHz
Period 			  :,T=667.4us
PK-PK				  :,Vpp=920.0mV
Average			  :,V=0.947mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,8.00mV
Time interval		  :,100.00uS

index,CH1_Voltage(mV)
0,-96.00
1,-72.00
2,-16.00
3,48.00
4,88.00
5,96.00
6,88.00
7,24.00
8,-32.00
9,-96.00
10,-112.00
11,-80.00
12,-24.00
13,48.00
14,88.00
15,104.00
16,96.00
17,40.00
18,-40.00
19,-88.00
20,-112.00
21,-96.00
22,-40.00
23,40.00
24,96.00
25,128.00
26,104.00
27,48.00
28,-16.00
29,-96.00
30,-120.00
31,-112.00
32,-56.00
33,16.00
34,96.00
35,128.00
36,120.00
37,80.00
38,0.00
39,-96.00
40,-136.00
41,-136.00
42,-80.00
43,0.00
44,96.00
45,152.00
46,152.00
47,96.00
48,0.00
49,-104.00
50,-160.00
51,-160.00
52,-112.00
53,-8.00
54,96.00
55,168.00
56,176.00
57,120.00
58,24.00
59,-88.00
60,-176.00
61,-184.00
62,-144.00
63,-40.00
64,88.00
65,176.00
66,200.00
67,160.00
68,64.00
69,-72.00
70,-184.00
71,-224.00
72,-176.00
73,-64.00
74,80.00
75,176.00
76,224.00
77,192.00
78,88.00
79,-64.00
80,-184.00
81,-248.00
82,-200.00
83,-96.00
84,64.00
85,192.00
86,256.00
87,224.00
88,120.00
89,-40.00
90,-184.00
91,-256.00
92,-248.00
93,-136.00
94,40.00
95,184.00
96,272.00
97,256.00
98,168.00
99,-24.00
100,-184.00
101,-272.00
102,-288.00
103,-176.00
104,8.00
105,176.00
106,288.00
107,288.00
108,184.00
109,24.00
110,-160.00
111,-288.00
112,-304.00
113,-216.00
114,-32.00
115,160.00
116,296.00
117,328.00
118,240.00
119,64.00
120,-144.00
121,-288.00
122,-344.00
123,-256.00
124,-80.00
125,136.00
126,296.00
127,344.00
128,280.00
129,112.00
130,-120.00
131,-288.00
132,-368.00
133,-304.00
134,-128.00
135,96.00
136,296.00
137,368.00
138,320.00
139,160.00
140,-88.00
141,-288.00
142,-376.00
143,-336.00
144,-176.00
145,72.00
146,280.00
147,384.00
148,360.00
149,192.00
150,-40.00
151,-272.00
152,-392.00
153,-368.00
154,-216.00
155,32.00
156,272.00
157,392.00
158,392.00
159,248.00
160,0.00
161,-240.00
162,-392.00
163,-400.00
164,-272.00
165,-16.00
166,240.00
167,400.00
168,416.00
169,296.00
170,40.00
171,-216.00
172,-384.00
173,-416.00
174,-312.00
175,-72.00
176,200.00
177,392.00
178,432.00
179,336.00
180,96.00
181,-176.00
182,-376.00
183,-432.00
184,-352.00
185,-128.00
186,168.00
187,368.00
188,456.00
189,368.00
190,160.00
191,-136.00
192,-360.00
193,-448.00
194,-376.00
195,-176.00
196,120.00
197,352.00
198,456.00
199,392.00
200,200.00
201,-88.00
202,-328.00
203,-440.00
204,-400.00
205,-216.00
206,72.00
207,320.00
208,456.00
209,416.00
210,240.00
211,-32.00
212,-288.00
213,-440.00
214,-424.00
215,-256.00
216,24.00
217,280.00
218,440.00
219,440.00
220,280.00
221,0.00
222,-256.00
223,-424.00
224,-432.00
225,-288.00
226,-32.00
227,240.00
228,416.00
229,440.00
230,320.00
231,64.00
232,-208.00
233,-392.00
234,-432.00
235,-320.00
236,-80.00
237,192.00
238,384.00
239,432.00
240,336.00
241,112.00
242,-168.00
243,-368.00
244,-432.00
245,-352.00
246,-120.00
247,152.00
248,360.00
249,440.00
250,360.00
251,152.00
252,-112.00
253,-328.00
254,-416.00
255,-368.00
256,-160.00
257,96.00
258,320.00
259,416.00
260,360.00
261,184.00
262,-72.00
263,-288.00
264,-392.00
265,-368.00
266,-184.00
267,56.00
268,280.00
269,392.00
270,368.00
271,216.00
272,-16.00
273,-248.00
274,-368.00
275,-368.00
276,-224.00
277,0.00
278,232.00
279,360.00
280,360.00
281,232.00
282,16.00
283,-200.00
284,-344.00
285,-352.00
286,-248.00
287,-32.00
288,184.00
289,336.00
290,344.00
291,264.00
292,64.00
293,-160.00
294,-304.00
295,-336.00
296,-256.00
297,-72.00
298,144.00
299,288.00
300,336.00
301,272.00
302,96.00
303,-112.00
304,-272.00
305,-312.00
306,-256.00
307,-96.00
308,96.00
309,256.00
310,312.00
311,256.00
312,120.00
313,-72.00
314,-232.00
315,-288.00
316,-256.00
317,-128.00
318,56.00
319,208.00
320,280.00
321,264.00
322,136.00
323,-24.00
324,-184.00
325,-264.00
326,-248.00
327,-144.00
328,16.00
329,168.00
330,248.00
331,248.00
332,152.00
333,0.00
334,-144.00
335,-232.00
336,-232.00
337,-152.00
338,-16.00
339,136.00
340,216.00
341,224.00
342,168.00
343,24.00
344,-112.00
345,-192.00
346,-216.00
347,-160.00
348,-32.00
349,96.00
350,176.00
351,208.00
352,160.00
353,56.00
354,-80.00
